ID,NAME,ID_CATEGORY_PARRENT,ALIAS
830,"Aconitum napellus, Dulcamara, Gelsemium sempervirens",19,Flu-less
831,nifedipine,90,nifedipine
832,Doxylamine succinate,43,NIGHTTIME SLEEP AID
833,Docusate Sodium,39,Docusate Sodium
834,Ropinirole Hydrochloride,85,Ropinirole Hydrochloride
835,Standardized Orchard Grass Pollen,51,Standardized Orchard Grass Pollen
836,"OCTINOXATE, TITANIUM DIOXIDE, and ZINC OXIDE",63,PRESCRIPTIVES
837,ARNICA MONTANA,65,Arnicare Procedure Recovery
838,"Mineral oil, Petrolatum, Phenylephrine HCl, Shark liver oil",20,Equate Hemorrhoidal
839,ETHYL ALCOHOL,67,CVS PHARMACY
840,Doxycycline Hyclate,18,Doxycycline Hyclate
841,Mucor plumbeus,41,Mucor plumbeus
842,Warfarin Sodium,40,Warfarin Sodium
843,"eucalyptol, menthol, methyl salicylate, thymol",40,Tartar Control Plus
844,Torsemide,51,Torsemide
845,TRICLOSAN,21,ANTIBACTERIAL FOAMING
846,"Guaifenesin, phenylephrine HCL, Dextromethorphan",49,Guaifenesin Phenylephrine Dextromethorphan
847,Norethindrone and Ethinyl Estradiol,84,Zenchent
848,alogliptin and pioglitazone,96,OSENI
849,"Mucinex Cold, Flu and Sore Throat Maximum Strength",80,"Mucus Relief Cold, Flu and Sore Throat"
850,DIPHENHYDRAMINE HYDROCHLORIDE 25 mg,85,SLEEP AID
851,risperidone,34,Risperidone
852,"Agnus castus, Apis Mellifica, Aurum Metallicum, Borax, Conium maculatum, Ferrum metallicum, Iodium, Lilium tigrinum, Lycopodium clavatum, Natrum muriaticum, Palladium Metallicum and Sepia",56,FertiPlex
853,BENZALKONIUM CHLORIDE,11,Lemon Verbena Hand Sanitizer
854,Titanium Dioxide,97,3 CONCEPT EYES SLIM FIT PACT NATURAL IVORY
855,MEROPENEM,9,Meropenem
856,OCTINOXATE,25,Sulwhasoo evenfair smoothing makeup base NO. 1
857,OCTINOXATE,33,Lumene Vitamin C BB Illuminating Anti-Age BB Sunscreen Broad Spectrum SPF 20 Medium
858,NITROGEN,49,NITROGEN
859,methimazole,50,TAPAZOLE
860,Alprazolam,46,Alprazolam
861,Paroxetine hydrochloride,34,Paroxetine
862,Etodolac,100,Etodolac
863,Prochlorperazine Maleate,23,Compazine
864,Gabapentin,72,Gabapentin
865,amoxicillin and clavulanate potassium,69,amoxicillin and clavulanate potassium
866,Timolol Maleate,19,Timolol Maleate
867,stavudine,81,Stavudine
868,White Petrolatum,99,Petroleum
869,Benzocaine,78,Boil Ease
870,Ibandronate sodium,82,Ibandronate sodium
871,TRICLOSAN,30,Equaline
872,Treatment Set TS332147,67,Treatment Set TS332147
873,Buspirone hydrochloride,87,Buspirone HCl
874,Hydrocodone Bitartrate and Ibuprofen,53,Hydrocodone Bitartrate and Ibuprofen
875,Loperamide Hydrochloride,23,Care One anti diarrheal
876,"Bovista 30c, Carbo Veg 30c, Cinchona 30c, Cocculus 30c, Graphites 30c, Kali Carb 30c, Lachesis 30c, Lycopodium 3c, Nat Carb 30c, Pulsatilla 30c, Sulphur 30c",55,Bloating
877,Sulfasalazine,83,Sulfasalazine
878,dl-alpha-tocoheryl acetate and ascorbic acid and cholecalciferol and cyanocobalamin and niacinamide and pyridoxine hydrochloride and riboflavin and fluoride and thiamin hydrochloride and vitamin A palmitate,65,Multi-Vit with Fluoride
879,"Standardized Grass Pollen, Grass Mix 5",93,"Standardized Grass Pollen, Grass Mix 5"
880,Clam,89,Clam
881,Docusate Sodium,38,Stool Softener
882,Morphine Sulfate,7,Morphine Sulfate
883,Octinoxate and Oxybenzone,70,LBEL divine lip gloss SPF 15
884,"Capsicum Annuum, Arnica Montana, Hypericum",99,Naturasil Gout
885,Metronidazole,68,Metronidazole
886,levofloxacin,71,Levofloxacin
887,Levonorgestrel,64,Skyla
888,"Octinoxate, Octisalate, Oxybenzone",27,Barely Beige Oil Controlling Makeup Broad Spectrum SPF 15
889,Methenamine Hippurate,51,Methenamine Hippurate
890,alcohol,4,PURELL Advanced Green Certified Instant Hand Sanitizer
891,Ioversol,74,Optiray
892,"Loratadine, Pseudoephedrine",42,Allergy Relief D
893,ASAFETIDA - STRYCHNOS IGNATII SEED - NUTMEG,85,Flatulence
894,ALCOHOL,86,One Step Wipes
895,Meclizine,31,Meclizine Hydrochloride
896,Selenium Sulfide,63,Rugby Anti-Dandruff
897,finasteride,48,Finasteride
898,Alcohol,53,Avant Original - Fragrance Free
899,"Arnica montana, Mercurius corrosivus, Sulphur iodatum, Thuja occidentalis, Urtica urens,",2,Vaccines Detox
900,Aluminum zirconium tetrachlorohydrex gly,1,Speed Stick
901,Glyburide and Metformin,49,Glyburide and Metformin
902,Hydrogen Peroxide,31,Hydrogen Peroxide
903,"Acetaminophen, Caffeine and Pyrilamine maleate",58,Maximum Strength Menstrual Relief
904,"Octinoxate, Octisalate",48,Rimmel London
905,"Acetaminophen, Doxylamine succinate, and Phenylephrine hydrochloride",51,Vicks QlearQuil
906,ALCOHOL,56,ETHYL ALCOHOL
907,"Diphenhydramine Hydrochloride, Zinc Acetate",86,anti itch and skin protectant
908,HYDROXYZINE PAMOATE,74,HYDROXYZINE PAMOATE
909,ALCOHOL,23,Instant Hand Sanitizer Fresh Lemon Scented
910,Gambil Oak,55,Gambil Oak
911,Alfuzosin Hydrochloride,6,Alfuzosin Hydrochloride
912,Hydrochlorothiazide,22,Hydrochlorothiazide
913,Titanium dioxide,62,SHISEIDO ADVANCED HYDRO-LIQUID COMPACT (REFILL)
914,Octinoxate and Titanium dioxide,85,CLE DE PEAU BEAUTE PW FOUNDATION s
915,OXYGEN,52,OXYGEN
916,Montelukast Sodium,3,Montelukast Sodium
917,"Avobenzone, Homosalate, Octisalate, Octocrylene, Oxybenzone",39,Ultra Light Sunscreen Broad Spectrum SPF 50
918,"Arsenicum Album, Calcarea Carbonica, Ignatia Amara, Kali Carbonicum, Lachesis Mutus, Natrum Muriaticum",47,ANX HP
919,gentamicin sulfate,90,GENTAMICIN SULFATE
920,sertraline hydrochloride,23,Sertraline Hydrochloride
921,Duloxetine,76,Duloxetine
922,Ensulizole,27,Covergirl Queen Collection All Day Flawless 3in1 Foundation
923,POVIDONE-IODINE,48,POVIDONE-IODINE
924,LUGOLS,22,LUGOLS SOLUTION
925,nabumetone,83,Nabumetone
926,Theophylline,36,Theophylline
927,"OCTINOXATE, TITANIUM DIOXIDE",60,Dolce and Gabbana The Lift Foundation Almond 150
928,SODIUM CHLORIDE,28,NATRUM MURIATICUM
929,DIMETHICONE,34,EROS ANAL SILICONE
930,Petrolatum,96,Vaseline
931,PROPRANOLOL HYDROCHLORIDE,87,PROPRANOLOL HYDROCHLORIDE
932,Dextromethorphan,2,Mielim y mas
933,Promethazine Hydrochloride,76,Promethazine Hydrochloride
934,Arsenicum Cerebrum,55,Arsenicum Cerebrum
935,"Surgical hand scrub, General skin cleanser",4,Alphadine Scrub Foam
936,Egg Yolk,6,Egg Yolk
937,Diazepam,59,Diazepam
938,SALICYLIC ACID,91,RENEWAL
939,Box Elder Ash Leaf Maple,53,ACER NEGUNDO POLLEN
940,Titanium Dioxide and Octinoxate,17,Eve Lom Brilliant Cover Concealer Broad Spectrum SPF 15 Sunscreen
941,Camphor Menthol Methyl Salicylate,58,Herbalgy
942,METOPROLOL TARTRATE,76,Metoprolol Tartrate
943,Liothyronine Sodium,31,Liothyronine Sodium
944,Titanium Dioxide and Zinc Oxide,53,Purminerals 4-in-1 Mineral Tinted Moisturizer Broad Spectrum SPF 20 (MEDIUM)
945,Clonazepam,16,Clonazepam
946,"DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE, and TRIPROLIDINE HYDROCHLORIDE",95,HISTEX-DM
947,Acetaminophen and Phenylephrine HCI,23,Daytime Sinus
948,POLYETHYLENE GLYCOL 3350,43,POLYETHYLENE GLYCOL 3350 AND ELECTROLYTES
949,"Piperonyl butoxide, Pyrethrum extract",35,Topcare Lice Killing
950,Trazodone Hydrochloride,72,Trazodone Hydrochloride
951,Pseudoephedrine Hydrochloride,16,Health Mart nasal decongestant
952,hydroxypropyl cellulose,83,Lacrisert
953,Fremont Cottonwood,19,Fremont Cottonwood
954,Hydroxyzine Pamoate,87,Hydroxyzine Pamoate
955,"cocoa butter, phenylephrine HCl",54,Equaline Hemorrhoidal
956,"Acetaminophen, Diphenhydramine HCl",2,PAIN RELIEVER PM
957,Standardized Redtop Grass Pollen,80,Standardized Redtop Grass Pollen
958,Benazepril Hydrochloride,76,Benazepril Hydrochloride
959,Risperidone,85,Risperidone
960,spironolactone,14,Spironolactone
961,ibuprofen,26,Ibuprofen
962,Ibuprofen,48,equate ibuprofen
963,"Acetaminophen, Chlorpheniramine maleate, Phenylephrine HCl",97,sinus congestion and pain
964,insulin-like growth factor-1 (IGF-1),8,IGF-1 Endurance Plus
965,Fluphenazine Hydrochloride,89,Fluphenazine Hydrochloride
966,sertraline hydrochloride,40,Zoloft
967,"Bottlebrush, Callistemon citrinus",40,"Pollens - Trees, Bottlebrush, Callistemon spp."
968,"Depo-Medrol, Lidocaine, Isopropyl Alcohol",17,Multi-Specialty Kit
969,Levobunolol Hydrochloride,93,Levobunolol Hydrochloride
970,"Arnica montana, Calcarea fluorica, Calcarea phosphorica, Calendula officinalis, Graphites, Hydrofluoricum acidum, Phytolacca decandra, Sabina, Silicea, Thiosinaminum and Thuja occidentalis",6,Scar Freee
971,Nicotine Polacrilex,96,CareOne Mini Nicotine Polacrilex
972,Naproxen Sodium,73,Naproxen Pain Relief
973,ciprofloxacin hydrochloride,39,CILOXAN
974,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",93,BANANA BOAT
975,simvastatin and niacin,50,Simcor
976,Ibuprofen,62,Ibuprofen
977,"Acetaminophen, Dextromethorphan HBr",15,Topcare Cold and Cough
978,Oxygen,8,Oxygen
979,Octinoxate and Zinc Oxide,20,Covergirl Smoothers Tinted Moisturizer
980,Insulin lispro,46,Humalog
981,Propafenone Hydrochloride,73,Propafenone Hydrochloride
982,Sodium Fluoride,34,SprinJene
983,SIROLIMUS,3,Sirolimus
984,"butalbital, aspirin, and caffeine",77,"Butalbital, Aspirin, and Caffeine"
985,GUAIFENESIN,49,GUAIFENESIN
986,Neomycin and Polymyxin B Sulfates and Bacitracin Zinc,21,Triple Antibiotic
987,Oxygen,94,Oxygen
988,Bupropion Hydrochloride,100,Bupropion Hydrochloride
989,Medicated Callus Removers,91,Salicylic Acid
990,oxytocin,46,Oxytocin
991,adapalene,6,Differin
992,fluocinolone acetonide,18,Capex
993,Triamterene and Hydrochlorothiazide,3,Triamterene and Hydrochlorothiazide
994,venlafaxine hydrochloride,40,venlafaxine hydrochloride
995,Ibuprofen,90,ibuprofen
996,CUPRUM METALLICUM,50,CUPRUM METALLICUM
997,Mosquito,13,Mosquito
998,"octinoxate, octisalate, and avobenzone",57,Origins
999,Olive Pollen,28,OLEA EUROPAEA POLLEN
1000,"AVOBENZONE, OCTOCRYLENE, OXYBENZONE",70,HAWAIIAN Tropic
